iter	RMSE
0	153.5134054
1	149.0611382
2	144.9406927
3	141.1922417
4	137.3652815
5	133.8780795
6	130.6402587
7	127.5542275
8	124.7886458
9	122.0885555
10	119.6589183
11	117.4012373
12	113.8853339
13	110.5399946
14	107.6906497
15	104.5527927
16	101.7105057
17	99.03557481
18	96.49216017
19	94.46494854
20	92.28327627
21	90.27808193
22	88.2914364
23	86.49294095
24	84.91837916
25	83.35729376
26	82.00368586
27	80.72203679
28	79.55911032
29	78.48684024
30	77.46241243
31	76.52662501
32	75.69175813
33	74.97675793
34	74.29773293
35	73.52192677
36	72.92819699
37	72.23587417
38	71.67859769
39	71.30809113
40	70.87621343
41	70.3955688
42	69.28971224
43	68.42872072
44	67.80029023
45	66.87186369
46	66.11209548
47	65.65681218
48	65.02027229
49	64.51341927
50	64.03679907
51	63.62068191
52	63.05518518
53	62.73544581
54	62.31898403
55	62.05112878
56	61.76077401
57	61.52736233
58	61.24893492
59	60.87423932
60	60.61622936
61	60.28826575
62	59.93479839
63	59.58526043
64	59.29702242
65	58.95103945
66	58.67994701
67	58.44473525
68	58.31584355
69	58.20947194
70	58.12997185
71	57.93972883
72	57.54654317
73	57.18798691
74	56.86436728
75	56.6437302
76	56.43083823
77	56.00955448
78	55.84628747
79	55.44921867
80	55.32410263
81	55.06070158
82	54.85333372
83	54.70852158
84	54.41057189
85	54.25939807
86	54.04747815
87	53.84309681
88	53.26289177
89	53.03458592
90	52.81525452
91	52.49984475
92	52.22857865
93	51.94543194
94	51.66742047
95	51.41749913
96	51.3395603
97	51.15701703
98	50.89693041
99	50.74472868
100	50.34321188
101	49.825849
102	49.79500682
103	49.5599756
104	49.33419262
105	49.31935589
106	49.21039751
107	48.9746124
108	48.8563911
109	48.7525803
110	48.52560588
111	48.43678137
112	48.254517
113	48.10214313
114	47.92857578
115	47.84058859
116	47.73495664
117	47.44700338
118	47.30789958
119	47.17835346
120	47.0594941
121	46.94602647
122	46.90403848
123	46.65968556
124	46.38487399
125	46.30687421
126	46.25314921
127	45.92332826
128	45.72267824
129	45.60788984
130	45.56080137
131	45.38837053
132	45.24576402
133	45.22093396
134	45.16873381
135	45.06361701
136	45.03709412
137	44.8934171
138	44.81500982
139	44.73645481
140	44.63790329
141	44.50524424
142	44.48313403
143	44.24661528
144	44.02843937
145	43.9553237
146	43.57083395
147	43.3767652
148	43.3430718
149	43.24785047
150	43.15973845
151	43.0331906
152	42.99376329
153	42.91154041
154	42.60762818
155	42.45069292
156	42.44723672
157	42.36117302
158	42.34983122
159	42.12421497
160	41.9660251
161	41.95563857
162	41.74191429
163	41.71899585
164	41.64927462
165	41.64847098
166	41.62099602
167	41.58594047
168	41.52233585
169	41.31507136
170	41.22786677
171	41.2250018
172	41.20629773
173	41.16435024
174	41.14323989
175	41.13944374
176	41.12006979
177	41.02211642
178	40.97813715
179	40.90023643
180	40.8313913
181	40.72967526
182	40.60615708
183	40.5757085
184	40.50434317
185	40.43438382
186	40.40554595
187	40.39783195
188	40.3717257
189	40.32095705
190	40.1400262
191	40.098011
192	40.0916875
193	39.89291893
194	39.87327764
195	39.61266434
196	39.46704185
197	39.33456796
198	39.29606991
199	39.17437778
200	39.13686448
201	38.95161189
202	38.87577786
203	38.7575849
204	38.68688164
205	38.55089986
206	38.49946379
207	38.37559796
208	38.31752506
209	38.28398737
210	38.20720552
211	38.15318211
212	38.11441468
213	38.10152564
214	38.06041806
215	37.98764314
216	37.93750013
217	37.92989591
218	37.89205722
219	37.81422241
220	37.76546661
221	37.62407624
222	37.57436471
223	37.51457973
224	37.47722731
225	37.44448976
226	37.40384641
227	37.39289531
228	37.36555253
229	37.3428369
230	37.20272633
231	37.0155559
232	36.89866991
233	36.87567863
234	36.83213543
235	36.78205232
236	36.68197234
237	36.6299897
238	36.5844951
239	36.49039372
240	36.32232819
241	36.20268963
242	36.19627148
243	36.11930457
244	36.0356749
245	36.01025512
246	35.96958314
247	35.9483124
248	35.8700344
249	35.81012427
