iter	Passed	Remaining
0	140	35097
1	190	23614
2	273	22506
3	370	22789
4	444	21803
5	509	20735
6	572	19889
7	613	18558
8	675	18078
9	730	17532
10	791	17207
11	838	16639
12	909	16586
13	1013	17080
14	1061	16623
15	1144	16740
16	1219	16713
17	1552	20004
18	1771	21542
19	1830	21045
20	1903	20756
21	1974	20460
22	2023	19966
23	2133	20092
24	2218	19965
25	2281	19654
26	2348	19394
27	2409	19101
28	2467	18807
29	2625	19251
30	2708	19132
31	2781	18945
32	2856	18781
33	2925	18584
34	2991	18374
35	3165	18819
36	3233	18615
37	3298	18400
38	3382	18300
39	3450	18117
40	3503	17858
41	3563	17646
42	3626	17455
43	3683	17244
44	3747	17070
45	3805	16878
46	3873	16731
47	4051	17049
48	4219	17309
49	4332	17331
50	4392	17138
51	4471	17027
52	4532	16848
53	4680	16987
54	4739	16802
55	4844	16781
56	4906	16614
57	4966	16439
58	5022	16258
59	5100	16152
60	5171	16024
61	5230	15858
62	5289	15701
63	5344	15533
64	5414	15410
65	5468	15244
66	5525	15092
67	5618	15037
68	5714	14989
69	5766	14829
70	5837	14718
71	5912	14615
72	5971	14478
73	6035	14354
74	6092	14216
75	6160	14103
76	6226	13989
77	6301	13895
78	6447	13954
79	6561	13942
80	6629	13832
81	6701	13729
82	6762	13605
83	6831	13501
84	6890	13376
85	6951	13256
86	7025	13163
87	7092	13056
88	7158	12950
89	7243	12876
90	7346	12836
91	7412	12729
92	7492	12647
93	7559	12546
94	7650	12483
95	7755	12440
96	7820	12336
97	7896	12247
98	7959	12140
99	8042	12064
100	8101	11952
101	8166	11849
102	8226	11740
103	8341	11710
104	8449	11668
105	8527	11584
106	8582	11470
107	8675	11406
108	8877	11483
109	9002	11457
110	9101	11397
111	9286	11441
112	9350	11335
113	9415	11233
114	9477	11126
115	9549	11031
116	9614	10929
117	9685	10834
118	9799	10787
119	9889	10713
120	9973	10632
121	10034	10527
122	10086	10414
123	10160	10324
124	10230	10230
125	10274	10111
126	10341	10015
127	10401	9913
128	10470	9820
129	10531	9721
130	10586	9616
131	10655	9525
132	10737	9446
133	11259	9747
134	11352	9670
135	12067	10115
136	12134	10008
137	12229	9925
138	12386	9891
139	12528	9843
140	12607	9746
141	12691	9652
142	12734	9528
143	12936	9522
144	13035	9439
145	13232	9425
146	13358	9359
147	13482	9291
148	13637	9244
149	13749	9166
150	13858	9085
151	13939	8987
152	14477	9178
153	14610	9107
154	14677	8995
155	14801	8918
156	14858	8801
157	14968	8716
158	15106	8645
159	15184	8541
160	15257	8434
161	15308	8315
162	15406	8222
163	15489	8122
164	15661	8068
165	15686	7937
166	15768	7836
167	15898	7759
168	15986	7662
169	16065	7560
170	16187	7478
171	16234	7362
172	16341	7273
173	16399	7163
174	16456	7052
175	16525	6948
176	16584	6839
177	16637	6729
178	16680	6616
179	16732	6507
180	16803	6405
181	17009	6355
182	17128	6270
183	17368	6229
184	17472	6139
185	17563	6043
186	17657	5948
187	17930	5913
188	18020	5816
189	18103	5716
190	18181	5616
191	18798	5678
192	18877	5575
193	19021	5490
194	19118	5392
195	19180	5284
196	19334	5201
197	19404	5096
198	19467	4989
199	19557	4889
200	19622	4783
201	19819	4709
202	19920	4612
203	20035	4517
204	20111	4414
205	20208	4316
206	20345	4226
207	20418	4122
208	20499	4021
209	20576	3919
210	20653	3817
211	20734	3716
212	20917	3633
213	21046	3540
214	21165	3445
215	21245	3344
216	21586	3282
217	21729	3189
218	21839	3091
219	21948	2992
220	22140	2905
221	22221	2802
222	22308	2700
223	22392	2599
224	22458	2495
225	22517	2391
226	22583	2288
227	22675	2188
228	22749	2086
229	22813	1983
230	22883	1882
231	22980	1782
232	23083	1684
233	23177	1584
234	23381	1492
235	23458	1391
236	23531	1290
237	23589	1189
238	23693	1090
239	23752	989
240	23837	890
241	23956	791
242	24029	692
243	24154	593
244	24265	495
245	24452	397
246	24545	298
247	24631	198
248	24725	99
249	24785	0
