worker_id,skill,experience_years,day_of_week,season,last_job_days_ago,available
3283e438-6cd3-4fe8-a951-1ee1d53e5d41,Machine-op-inspct,7,0,Winter,18,1
90aeeafb-d069-4cc4-bd92-a076c5f387f9,Farming-fishing,20,0,Winter,15,1
a83dc2e7-d3a7-403f-bfbb-132f7eda8c22,Protective-serv,10,5,Winter,18,0
5dc22fee-5109-4802-b87a-67af7c32364f,Machine-op-inspct,26,1,Winter,18,0
022063c8-1eb2-4d78-889f-197230312e0a,Other-service,16,0,Winter,21,1
475e18e8-53ca-4aac-b392-1c885b333376,Prof-specialty,45,2,Winter,21,0
7771561f-35fe-4aba-933a-6e5d8901bba7,Other-service,6,1,Winter,18,1
ce498b94-4349-49bf-9c9b-9f65411e5c66,Craft-repair,37,0,Winter,27,1
747d700e-aef0-4bec-a1d0-4b1f662e72c7,Machine-op-inspct,47,1,Winter,18,0
a5b0b85b-65da-4bba-9120-ce45f601dacf,Adm-clerical,18,5,Winter,18,1
1e604ec2-6141-4085-94c4-3cc9a08fa4a4,Adm-clerical,8,5,Winter,19,1
235c6d61-e286-46f5-8ea5-1daa2ae96744,Machine-op-inspct,30,0,Winter,16,0
86d32e04-0d04-4263-b324-d08ff08f5534,Exec-managerial,25,3,Winter,15,1
a18ac44b-4f60-4037-8d8c-f76ea14fcda7,Other-service,2,1,Winter,23,1
fc0c2ca6-72bb-4594-a773-aca726b26096,Adm-clerical,25,2,Winter,21,1
5fa0f381-da36-4f3b-adc9-3917afd505d2,Machine-op-inspct,19,5,Winter,24,1
78a19816-367a-4667-9308-f7b22976eaa8,Tech-support,16,3,Winter,16,0
ef373dc5-a70e-48eb-897f-b3922afd4bd9,Other-service,16,1,Winter,20,1
92c0ca93-c947-4d17-a2f2-9e0e90872fce,Prof-specialty,7,2,Winter,18,1
03d9d833-cf18-4535-a8b4-8a70563229fd,Prof-specialty,7,2,Winter,18,1
30757d3d-7a23-4193-9f18-4abb75d1d061,Craft-repair,27,3,Winter,3,0
e9b7bca2-a0ce-4f90-abbb-a98371d2200a,Adm-clerical,4,3,Winter,24,1
00a39fa5-5fda-43d6-8581-568ec1825e71,Machine-op-inspct,5,2,Winter,14,1
fff24f6c-d766-4046-a91d-2398f00f15b7,Craft-repair,36,1,Winter,20,0
da1e36ad-0a2e-4274-9ef5-d1d9a705604e,Prof-specialty,14,3,Winter,12,1
5bf9f10b-334a-40b2-90d6-5c614f753799,Exec-managerial,28,3,Winter,19,1
959b3945-08fa-404c-bee7-3d5cb18b696c,Other-service,38,5,Winter,15,1
dcdb3f6c-94f2-4d87-b64c-8e27af3b2308,Sales,6,2,Winter,15,1
e8a62113-f915-4141-8503-393d859ba9b2,Protective-serv,5,1,Winter,18,1
d51ff488-8e99-43a3-881f-3df05ad79a7f,Exec-managerial,8,1,Winter,18,1
