month,season,temperature,precipitation,job_type,village_population,num_jobs_posted,avg_wage
8,Monsoon,44.25170336674622,55.07360096826753,"Building, Construction and Real Estate",1459,2,184
8,Monsoon,42.04703459847364,81.14020290882098,Food Processing,4747,25,416
7,Monsoon,43.00748872947954,50.97719317637487,Electronics and IT hardware,4031,24,641
9,Monsoon,25.720513869433148,55.383185468239205,Leather and Leather Goods,3928,23,390
11,Winter,24.699833165064614,37.52665771834386,Telecommunications,4210,19,617
2,Winter,21.12467484861683,26.41698155838978,Leather and Leather Goods,2587,16,386
5,Summer,36.9610063921719,6.172589830768996,Domestic Help,2031,12,306
3,Summer,39.906514255930176,7.786942742523544,Private Security Services,1640,12,406
7,Monsoon,26.431787765158226,24.710191957438816,Agriculture,1780,9,364
6,Monsoon,22.536125649355668,99.42462043751848,"Transportation, Logistics",3762,18,437
4,Summer,42.410556569581146,1.4591379884831013,Private Security Services,3046,17,415
4,Summer,47.04452555696289,0.9191790727777727,Leather and Leather Goods,4002,18,404
11,Winter,28.410008904999003,5.971308804336606,Agriculture,2672,18,353
6,Monsoon,29.81002566793896,41.954123350178975,Healthcare,3321,17,606
6,Monsoon,43.49657582550867,37.728012649122,Media and Entertainment,4668,22,487
5,Summer,36.00724822922423,9.960355967783498,Leather and Leather Goods,3730,18,402
8,Monsoon,28.126133940807634,42.63588396807385,Retail,4720,28,418
8,Monsoon,33.25692873541658,64.55670023423751,Banking and Financial Services,1992,12,708
10,Winter,27.260280725450894,2.721293406005837,Banking and Financial Services,3800,21,719
7,Monsoon,30.830308447306738,37.783881102556606,Leather and Leather Goods,2832,12,415
1,Winter,28.344067008600376,16.70816715225076,Private Security Services,4007,23,398
11,Winter,30.139709071057183,29.860530066462882,Domestic Help,2196,9,317
6,Monsoon,33.08706458743041,57.67774613950846,Telecommunications,4535,21,612
10,Winter,27.184690878443483,48.72147345664468,IT and ITeS,3425,21,794
11,Winter,40.859335963718905,41.27688032403952,"Transportation, Logistics",1145,9,467
1,Winter,36.48495981561974,5.689842519481736,Electronics and IT hardware,2148,10,672
11,Winter,21.386081741085597,47.82370146030103,Electronics and IT hardware,4472,24,647
11,Winter,43.90444923233248,7.794852239461958,Food Processing,2150,11,394
4,Summer,39.528215095550976,9.781300773671935,Furniture and Furnishing,4892,28,390
2,Winter,44.52906473669094,4.491284545493829,Leather and Leather Goods,3021,17,408
1,Winter,33.31728697253302,16.994168189427988,Electronics and IT hardware,4539,22,671
11,Winter,21.850705697027774,39.753919489949844,Food Processing,2642,11,403
5,Summer,38.176837561490075,3.6255418826866945,Handlooms and Handicrafts,1240,6,392
4,Summer,39.7935065481155,4.980751248925434,IT and ITeS,1722,6,816
6,Monsoon,39.639161846948525,45.15312116560813,Beauty and Wellness,1606,6,391
11,Winter,23.681043693724035,24.06022208212087,Domestic Help,2695,15,315
5,Summer,37.65265921918699,2.924514085594611,Agriculture,1776,13,371
2,Winter,34.07087121603254,10.751009408740586,"Building, Construction and Real Estate",4949,24,469
6,Monsoon,40.05108788875225,21.38543567467235,Leather and Leather Goods,4151,20,386
8,Monsoon,39.2147316011448,41.353738410210525,"Travel, Tourism and Hospitality",3498,18,504
5,Summer,35.28398911148119,5.680398359793183,Electronics and IT hardware,3027,14,669
4,Summer,47.643435471593904,9.2141969777624,Retail,3153,14,384
3,Summer,44.25662622968882,5.802340578523428,Leather and Leather Goods,1482,11,416
6,Monsoon,24.66412118608486,72.48585336135257,Auto and Auto Components,1903,12,487
5,Summer,42.75403820339852,3.325588619276499,Banking and Financial Services,1072,6,708
12,Winter,34.950312937745444,40.772794634292694,"Travel, Tourism and Hospitality",4743,23,504
