job_id,required_skill,experience_needed,worker_skill,worker_experience,worker_distance_km,matched
06fbec66-4590-4a12-b8cd-4a93ea5124ee,Machine-op-inspct,2,Machine-op-inspct,7,9.5,1
bc667f00-e7e3-4c26-a251-e4161ce61524,Farming-fishing,4,Other,20,23.6,0
b12e735c-da58-4847-95bb-60678498982b,Protective-serv,7,Protective-serv,10,16.4,0
bf771631-5864-4786-b5e6-76f4ecce0b1f,Machine-op-inspct,5,Machine-op-inspct,26,2.3,1
3de07349-76ad-4860-9d12-ade5573ab1a7,Other-service,1,Other-service,16,28.9,1
a1f085a3-c51a-4402-9629-d20b2ee7f6c9,Prof-specialty,10,Other,45,16.0,0
34a30807-9bbf-4406-bea8-3b746e59eda8,Other-service,5,Other-service,6,6.8,1
4b080b5f-329d-422e-af48-483a5d8bbe72,Craft-repair,0,Craft-repair,37,17.6,1
6cd0928a-cdcf-44d5-a929-7e5e17bd1a42,Machine-op-inspct,4,Machine-op-inspct,47,4.6,0
c2b60241-5740-4f09-a787-7b0c4a2c0129,Adm-clerical,8,Adm-clerical,18,7.8,1
34a1b50f-2478-4483-a10b-ff3723b5d990,Adm-clerical,4,Adm-clerical,8,15.9,0
2ec4d383-6597-484e-acd9-4175310a79f9,Machine-op-inspct,4,Machine-op-inspct,30,10.1,0
52a6d4a9-c4f7-4981-ba87-8b8c63957f0f,Exec-managerial,9,Exec-managerial,25,11.6,1
9fd0856f-51ca-4461-bf18-593f0f6d3dde,Other-service,5,Other,2,6.5,0
502e2e18-4855-48aa-bc40-2ffd97272968,Adm-clerical,4,Adm-clerical,25,24.4,1
d71ab753-4411-4e36-8427-86d4224b3375,Machine-op-inspct,4,Machine-op-inspct,19,23.5,1
701bb209-25ca-44ec-b44e-7f8431789735,Tech-support,8,Tech-support,16,20.0,0
e404d09c-29de-4a56-a854-d393a8fd93e6,Other-service,5,Other-service,16,29.1,1
349af9f2-65ee-4e8d-8a25-8dd282e12689,Prof-specialty,8,Other,7,24.5,0
ac672523-e32b-440f-8a0f-9d261db02be8,Prof-specialty,8,Prof-specialty,7,29.0,1
bff64d59-2c07-40a1-b6ae-3f86c35ef4df,Craft-repair,4,Craft-repair,27,28.4,1
fe78a266-e389-4dd2-8108-78b651e808cd,Adm-clerical,4,Adm-clerical,4,9.8,1
aa3d282b-1d43-4d7f-8543-63a6089daa0f,Machine-op-inspct,4,Machine-op-inspct,5,28.4,1
aa7f86f8-fc49-48af-a4c1-9d9b3bd7fe59,Craft-repair,4,Craft-repair,36,6.7,0
39855fbe-dd4e-4da8-b93e-cd6cc2d54ab6,Prof-specialty,5,Other,14,7.1,0
5d460454-574d-4127-8066-c004146c9bb6,Exec-managerial,5,Exec-managerial,28,3.9,1
e5833da5-cd0d-4f0a-a3c7-8604eb076e3e,Other-service,2,Other-service,38,20.9,1
29e56f49-ca8d-409f-9e51-8d8a1b41ff7a,Sales,8,Sales,6,5.0,0
43b0a96c-f846-4c79-9cf2-b55c4003f0f7,Protective-serv,5,Protective-serv,5,8.3,1
ab69f6e2-e9e9-49a7-8747-a083650a8da5,Exec-managerial,4,Exec-managerial,8,23.0,0
d4399222-8912-4014-b15d-5211eea8083f,Prof-specialty,8,Prof-specialty,18,12.6,1
56238d62-ddc2-4a75-a4cc-fe975fb121e4,Priv-house-serv,0,Priv-house-serv,4,29.6,0
5317af7e-f782-42aa-a950-67d87dd8aa8e,Machine-op-inspct,1,Machine-op-inspct,0,21.6,1
d560d7df-bc1d-46ba-a28c-b16054f728a1,Craft-repair,4,Other,2,20.4,0
3e288255-5fcc-438f-b77b-a3c4a12f8237,Prof-specialty,9,Prof-specialty,47,4.8,1
330fa83d-cca9-4bb1-a13b-b6acd456f941,Sales,6,Sales,26,3.7,1
bd18d5c8-722c-492c-a9d6-889f621e9121,Farming-fishing,4,Farming-fishing,18,12.4,0
5b3ea962-cd4b-4578-ae79-1c6ade283326,Other-service,2,Other-service,11,25.1,1
cb9c8b4d-9844-424e-b289-7123922bb0d5,Farming-fishing,5,Farming-fishing,2,21.4,1
e7699281-8e4e-44be-875e-7984cf3525ea,Prof-specialty,6,Prof-specialty,10,22.7,0
3e4c18e1-ff7b-4d97-a0d9-4d41b17ebb63,Craft-repair,0,Craft-repair,21,22.1,1
db39a3bf-9535-4dd5-936f-f136b72ba1a0,Transport-moving,5,Transport-moving,36,17.7,0
af545416-cc9d-4d42-98b2-bf8dda99d244,Priv-house-serv,2,Priv-house-serv,34,19.6,1
7821e60a-0228-4f76-8378-00551619e405,Exec-managerial,4,Exec-managerial,38,10.7,0
35fd7830-c411-4f77-a6c7-6f287aff0439,Other-service,5,Other-service,0,6.3,0
